gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue
857364517,db6cd9d7-7be5-4cd0-8b3c-fb6dd7446472,,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Crataegus,Crataegus monogyna,brevispina,SUBSPECIES,Crataegus monogyna subsp. brevispina (Kunze) Franco,Crataegus monogyna subsp. brevispina (Kunze) Franco,(Kunze) Franco,ES,,Gr,PRESENT,,4b4b2111-ee51-45f5-bf5e-f535f4a1c9dc,37.136218,-3.116126,1,,1945,0,,,,,,,8148659,9220780,HUMAN_OBSERVATION,OBSNEV,SINFONEVADA,SINFON-99-077220-20040930,,,,CC_BY_NC_4_0,,,,,2022-05-25T18:17:19.838Z,,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;RECORDED_DATE_INVALID
857364516,db6cd9d7-7be5-4cd0-8b3c-fb6dd7446472,,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Koeleria,Koeleria vallesiana,,SPECIES,Koeleria vallesiana Asch. & Graebn.,Koeleria vallesiana Asch. & Graebn.,Asch. & Graebn.,ES,,Gr,PRESENT,,4b4b2111-ee51-45f5-bf5e-f535f4a1c9dc,37.136218,-3.116126,1,,1945,0,,,,,,,7813762,7813762,HUMAN_OBSERVATION,OBSNEV,SINFONEVADA,SINFON-99-012007-20040930,,,,CC_BY_NC_4_0,,,,,2022-05-25T18:17:20.668Z,,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;RECORDED_DATE_INVALID
857364515,db6cd9d7-7be5-4cd0-8b3c-fb6dd7446472,,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Festuca,Festuca hystrix,,SPECIES,Festuca hystrix Boiss.,Festuca hystrix Boiss.,Boiss.,ES,,Gr,PRESENT,,4b4b2111-ee51-45f5-bf5e-f535f4a1c9dc,37.136218,-3.116126,1,,1945,0,,,,,,,4122688,4122688,HUMAN_OBSERVATION,OBSNEV,SINFONEVADA,SINFON-99-011771-20040930,,,,CC_BY_NC_4_0,,,,,2022-05-25T18:17:20.022Z,,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;RECORDED_DATE_INVALID
857364514,db6cd9d7-7be5-4cd0-8b3c-fb6dd7446472,,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Ptilostemon,Ptilostemon hispanicus,,SPECIES,Ptilostemon hispanicus (Lam.) Greuter,Ptilostemon hispanicus (Lam.) Greuter,(Lam.) Greuter,ES,,Gr,PRESENT,,4b4b2111-ee51-45f5-bf5e-f535f4a1c9dc,37.136218,-3.116126,1,,1945,0,,,,,,,3096840,3096840,HUMAN_OBSERVATION,OBSNEV,SINFONEVADA,SINFON-99-011069-20040930,,,,CC_BY_NC_4_0,,,,,2022-05-25T18:17:20.987Z,,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;RECORDED_DATE_INVALID
857364513,db6cd9d7-7be5-4cd0-8b3c-fb6dd7446472,,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Santolina,Santolina rosmarinifolia,,SPECIES,Santolina rosmarinifolia L.,Santolina rosmarinifolia L.,L.,ES,,Gr,PRESENT,,4b4b2111-ee51-45f5-bf5e-f535f4a1c9dc,37.136218,-3.116126,1,,1945,0,,,,,,,3125944,3125944,HUMAN_OBSERVATION,OBSNEV,SINFONEVADA,SINFON-99-010656-20040930,,,,CC_BY_NC_4_0,,,,,2022-05-25T18:17:20.259Z,,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;RECORDED_DATE_INVALID
857364512,db6cd9d7-7be5-4cd0-8b3c-fb6dd7446472,,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Eryngium,Eryngium campestre,,SPECIES,Eryngium campestre L.,Eryngium campestre L.,L.,ES,,Gr,PRESENT,,4b4b2111-ee51-45f5-bf5e-f535f4a1c9dc,37.136218,-3.116126,1,,1945,0,,,,,,,3034426,3034426,HUMAN_OBSERVATION,OBSNEV,SINFONEVADA,SINFON-99-008914-20040930,,,,CC_BY_NC_4_0,,,,,2022-05-25T18:17:20.919Z,,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;RECORDED_DATE_INVALID
857364511,db6cd9d7-7be5-4cd0-8b3c-fb6dd7446472,,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Erinacea,Erinacea anthyllis,,SPECIES,Erinacea anthyllis Link,Erinacea anthyllis Link,Link,ES,,Gr,PRESENT,,4b4b2111-ee51-45f5-bf5e-f535f4a1c9dc,37.136218,-3.116126,1,,1945,0,,,,,,,2977757,2977757,HUMAN_OBSERVATION,OBSNEV,SINFONEVADA,SINFON-99-008286-20040930,,,,CC_BY_NC_4_0,,,,,2022-05-25T18:17:21.049Z,,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;RECORDED_DATE_INVALID
857364510,db6cd9d7-7be5-4cd0-8b3c-fb6dd7446472,,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Genista,Genista versicolor,,SPECIES,"Genista versicolor Boiss. ex Steud., 1840",Genista versicolor Boiss. ex Steud.,Boiss. ex Steud.,ES,,Gr,PRESENT,,4b4b2111-ee51-45f5-bf5e-f535f4a1c9dc,37.136218,-3.116126,1,,1945,0,,,,,,,7357319,7357319,HUMAN_OBSERVATION,OBSNEV,SINFONEVADA,SINFON-99-008211-20040930,,,,CC_BY_NC_4_0,,,,,2022-05-25T18:17:20.565Z,,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;RECORDED_DATE_INVALID
857364509,db6cd9d7-7be5-4cd0-8b3c-fb6dd7446472,,Plantae,Tracheophyta,Magnoliopsida,Malvales,Cistaceae,Helianthemum,Helianthemum cinereum,,SPECIES,Helianthemum cinereum (Cav.) Pers.,Helianthemum cinereum Pers.,Pers.,ES,,Gr,PRESENT,,4b4b2111-ee51-45f5-bf5e-f535f4a1c9dc,37.136218,-3.116126,1,,1945,0,,,,,,,7331381,7331381,HUMAN_OBSERVATION,OBSNEV,SINFONEVADA,SINFON-99-007089-20040930,,,,CC_BY_NC_4_0,,,,,2022-05-25T18:17:20.133Z,,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;RECORDED_DATE_INVALID
857364508,db6cd9d7-7be5-4cd0-8b3c-fb6dd7446472,,Plantae,Tracheophyta,Magnoliopsida,Fagales,Fagaceae,Quercus,Quercus rotundifolia,ballota,SUBSPECIES,Quercus ilex subsp. ballota (Desf.) Bonafé,Quercus ilex L. subsp. ballota,,ES,,Gr,PRESENT,,4b4b2111-ee51-45f5-bf5e-f535f4a1c9dc,37.136218,-3.116126,1,,1945,0,,,,,,,2881553,2881550,HUMAN_OBSERVATION,OBSNEV,SINFONEVADA,SINFON-99-006130-20040930,,,,CC_BY_NC_4_0,,,,,2022-05-25T18:17:20.240Z,,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;RECORDED_DATE_INVALID
857364507,db6cd9d7-7be5-4cd0-8b3c-fb6dd7446472,,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Thymus,Thymus mastichina,,SPECIES,"Thymus mastichina Sm., 1809",Thymus mastichina Sibth. & Sm.,Sibth. & Sm.,ES,,Gr,PRESENT,,4b4b2111-ee51-45f5-bf5e-f535f4a1c9dc,37.140776,-3.110537,1,,1813,0,,,,,,,7905886,7905886,HUMAN_OBSERVATION,OBSNEV,SINFONEVADA,SINFON-98-009635-20040927,,,,CC_BY_NC_4_0,,,,,2022-05-25T18:17:20.580Z,,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;RECORDED_DATE_INVALID
857364506,db6cd9d7-7be5-4cd0-8b3c-fb6dd7446472,,Plantae,Tracheophyta,Pinopsida,Pinales,Pinaceae,Pinus,Pinus sylvestris,,SPECIES,"Pinus sylvestris Lour., 1790",Pinus sylvestris Lour.,Lour.,ES,,Gr,PRESENT,,4b4b2111-ee51-45f5-bf5e-f535f4a1c9dc,37.136218,-3.116126,1,,1945,0,,,,,,,9079676,9079676,HUMAN_OBSERVATION,OBSNEV,SINFONEVADA,SINFON-99-005717-20040930,,,,CC_BY_NC_4_0,,,,,2022-05-25T18:17:20.605Z,,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;RECORDED_DATE_INVALID
